name	barcode20	barcode18	barcode16	barcode07	barcode14	barcode04	barcode32	barcode17	barcode12	barcode11	barcode01	barcode10	barcode31	barcode21	barcode15	barcode30	barcode09	barcode22	barcode03	barcode13	barcode02	barcode06	barcode08	barcode05	barcode33	barcode19
Paenibacillus_sp._N3/727	0.00005	0	0	0.00004	0	0	0	0	0	0	0	0	0.00002	0	0	0.00001	0	0	0	0.00004	0	0	0	0	0.00001	0
Paenibacillus_sp._PAMC21692	0.00004	0.00004	0	0.00004	0	0	0.00002	0	0	0	0	0	0.00003	0	0.00006	0.00002	0	0	0	0	0	0	0	0.00009	0.00002	0
Paenibacillus_sp._PK3_47	0.00006	0	0	0.00003	0	0	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0.00003	0	0	0	0	0.00001	0
Paenibacillus_sp._PSB04	0.00007	0	0	0.00004	0	0	0.00002	0	0	0	0	0	0.00002	0	0	0.00002	0	0	0	0	0	0	0	0	0.00001	0
Paenibacillus_sp._R14(2021)	0.00007	0.00004	0.00003	0.00004	0	0.00004	0.00002	0.00004	0	0	0	0	0.00003	0	0.00003	0.00002	0.00003	0	0.00010	0.00002	0	0	0	0.00002	0.00002	0.00003
Paenibacillus_sp._RC67	0.00010	0	0	0.00002	0	0	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0.00003	0	0	0.00004	0	0	0	0	0.00002	0.00003
Paenibacillus_sp._RUD330	0.00010	0.00006	0.00007	0.00005	0.00002	0.00004	0.00003	0.00008	0	0	0.00006	0	0.00003	0	0.00006	0.00004	0.00007	0	0.00008	0.00003	0.00003	0.00004	0	0.00007	0.00005	0.00005
Paenibacillus_sp._SYP-B4298	0.00005	0.00004	0.00003	0.00004	0	0.00002	0.00001	0.00004	0	0	0.00003	0	0.00003	0	0.00005	0.00002	0	0	0.00004	0.00004	0.00002	0.00004	0	0.00003	0.00003	0.00002
Paenibacillus_sp._URB8-2	0.00003	0	0	0.00002	0	0.00002	0.00001	0.00005	0	0	0	0	0.00001	0	0	0.00001	0.00004	0	0	0.00003	0	0	0	0	0.00002	0.00003
Paenibacillus_sp._YPD9-1	0.00007	0.00003	0.00002	0.00003	0	0	0.00002	0.00004	0	0	0	0	0.00002	0	0.00002	0.00001	0.00005	0	0.00005	0.00004	0.00002	0	0	0	0.00002	0.00003
Paenibacillus_sp._YPG26	0.00003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0	0	0	0	0	0.00001	0
Paenibacillus_sp._sptzw28	0.00003	0.00005	0.00005	0.00006	0	0.00003	0.00002	0	0	0	0.00003	0.00007	0.00004	0	0.00005	0.00003	0.00003	0	0.00006	0.00003	0.00003	0	0	0.00004	0.00004	0.00005
Paenibacillus_spongiae	0.00004	0.00003	0	0.00005	0	0.00002	0.00001	0.00003	0	0	0.00003	0	0.00003	0	0.00004	0.00002	0.00004	0	0	0.00003	0.00002	0.00003	0	0.00003	0.00002	0.00003
Paenibacillus_stellifer	0.00011	0.00002	0	0	0	0.00002	0.00001	0.00004	0	0	0.00003	0	0.00001	0	0.00004	0.00002	0	0	0	0.00004	0.00002	0.00005	0	0.00003	0.00002	0
Paenibacillus_swuensis	0	0	0	0.00002	0	0	0	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0.00002	0	0	0	0	0.00001	0.00002
Paenibacillus_thiaminolyticus	0.00010	0.00004	0.00005	0.00004	0	0.00004	0.00002	0.00005	0	0	0	0	0.00002	0	0.00003	0.00003	0.00006	0	0	0.00004	0.00005	0.00010	0	0.00004	0.00003	0.00004
Paenibacillus_tianjinensis	0.00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0.00003	0	0	0	0	0.00001	0
